date,theftType
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/25/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/26/2019,ROBBERY
4/27/2019,ROBBERY
4/27/2019,ROBBERY
4/27/2019,ROBBERY
4/27/2019,ROBBERY
4/27/2019,ROBBERY
4/27/2019,ROBBERY
4/27/2019,ROBBERY
